dataset_tag,metric,max,min,mean,median,std
wcgc,degree,55,46,50.10,46.00,4.50
wcgc,distance,2.0,1.0,1.50,1.00,0.50
wcgc,closeness,0.6896551724137931,0.6493506493506493,0.67,0.65,0.02
