, A. Accountancy,,,,,B. Advertising I ,,,,,,C. Advertising II,,,,,D. Banking / Finance I ,,,E. Banking / Finance II ,,,,F. Banking / Finance III,,,,,G.Bank/ Fina IV ,,H. Law I ,,,,,I. Law II ,,,,,,,,J. Law III,,,
CITIES,KP,CL,EY,AA,PW,GR,DM,LH,SS,TH,OM,DE,YR,TM,PU,AM,HS,BA,NW,ST,CR,DR,MO,PA,CS,BB,BT,UB,AB,CB,BM,WC,LL,CO,SK,BC,DW,GJ,HH,JD,MC,SQ,WE,AO,CC,FF,
London,3,3,3,3,3,1,1,1,1,1,1,3,2,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,1,1,3,3,3,3,3,1,1,1,1,2,0,1,1,1,1,1,97
Los Angeles,3,2,2,2,2,1,1,0,1,1,1,3,1,3,0,2,2,0,3,2,0,0,3,1,1,0,1,1,1,1,0,3,3,2,3,3,0,3,1,3,0,0,3,0,0,0,65
Madrid,2,2,2,1,3,1,1,1,1,1,1,1,2,1,3,3,2,3,0,0,0,0,3,3,1,3,2,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,52
Manila,1,1,1,1,2,1,1,0,1,1,1,1,0,0,2,1,2,1,1,2,0,0,1,1,0,0,2,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
Melbourne,3,3,1,1,2,1,0,0,1,1,0,2,1,1,2,3,2,2,2,1,0,0,2,0,1,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
Mexico City,2,3,3,1,1,1,1,1,1,1,1,0,2,0,1,1,2,1,1,1,0,1,3,1,1,2,2,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
Miami,2,1,2,1,1,0,0,0,1,1,1,0,2,2,0,1,0,0,1,2,0,0,0,0,1,3,1,0,0,1,3,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,33
Milan,2,3,3,2,3,1,1,1,0,1,1,1,3,1,3,2,1,2,1,0,1,1,2,3,1,3,2,1,1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,1,1,1,56
Minneapolis,2,2,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,13
Montreal,3,2,3,2,1,1,1,0,0,1,0,0,1,2,3,1,2,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
Moscow,2,1,1,2,2,0,1,1,1,1,0,1,1,0,1,1,2,1,1,0,3,0,1,1,3,2,0,0,1,0,3,2,2,2,1,0,0,0,1,0,0,0,0,1,1,1,45
Munich,2,2,3,2,1,0,0,0,0,0,0,0,0,0,1,2,0,2,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
New York,3,3,3,2,3,1,1,1,1,1,1,3,3,3,1,3,3,3,3,3,2,2,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,0,3,1,2,3,1,1,1,105
Osaka,1,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Paris,3,3,3,2,3,1,1,1,1,1,1,2,0,1,3,3,2,3,3,0,0,0,2,3,1,3,3,1,1,1,3,3,0,3,2,0,0,0,2,3,0,0,0,1,1,1,71
Prague,1,1,1,1,1,0,1,1,1,1,1,0,2,0,2,3,2,1,0,0,3,0,1,1,0,0,2,1,1,0,1,2,0,0,0,0,0,0,1,0,0,2,0,1,1,0,37
Rome,1,1,3,2,2,0,1,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,1,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,24
San Francisco,3,3,3,1,2,1,1,0,1,1,0,0,2,1,2,0,2,2,1,0,1,1,3,1,0,0,1,1,1,1,3,0,3,3,3,0,0,3,0,0,0,0,3,0,0,0,54
Sao Paulo,2,2,2,1,2,1,1,1,1,1,1,0,3,0,2,1,2,2,0,0,1,0,2,2,1,2,2,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
Santiago,1,2,2,1,3,1,1,0,1,0,1,0,2,0,1,2,2,1,0,0,0,0,1,1,1,2,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
Seoul,2,2,2,1,3,0,1,0,1,1,1,2,0,0,1,2,2,2,1,2,0,0,2,3,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
Shanghai,1,1,1,1,2,0,1,0,1,1,0,3,0,0,0,1,2,0,1,3,0,0,1,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27
Singapore,2,2,1,1,2,1,1,1,1,1,1,3,2,0,2,1,3,3,2,3,1,1,3,3,3,0,3,3,1,0,3,2,0,1,1,0,0,0,0,0,0,0,0,1,1,1,61
Stockholm,3,3,2,1,1,1,1,1,1,1,1,0,2,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
Sydney,3,3,3,2,2,1,1,0,1,1,1,3,2,0,3,3,2,3,3,2,0,1,2,2,0,0,3,1,1,1,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,56
Taipei,2,2,2,1,1,1,1,0,1,1,1,3,0,0,0,1,2,2,1,3,0,0,2,3,0,0,3,1,1,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,41
Tokyo,3,3,3,2,3,1,1,0,1,1,1,0,2,1,0,1,2,3,1,2,1,1,2,3,3,3,3,3,1,1,3,3,0,1,1,0,0,1,0,1,0,0,1,1,1,1,66
Toronto,3,3,3,2,3,1,1,1,1,1,1,1,1,2,3,3,2,2,1,0,0,1,2,2,1,0,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
Warsaw,1,1,2,1,1,0,1,1,0,1,1,0,1,0,3,1,1,1,0,0,3,0,1,1,0,0,1,1,1,0,3,3,0,0,0,0,0,0,2,0,1,0,0,1,1,0,36
"Washington, DC",3,3,3,2,2,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,3,3,3,3,3,3,3,2,3,3,1,3,2,0,0,0,54
Zurich,2,2,3,1,2,1,1,1,1,1,1,0,2,0,2,2,2,1,3,0,0,2,2,1,3,2,3,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
